symbol,ldcp,open,high,low,close,change,percent_change,volume,market_cap,company,sector,downloaded_at_utc
CNERGY,10.61,10.66,11.11,9.85,9.96,-0.65,-6.13,263629006.0,54714737807.16,Cnergyico PK Limited,REFINERY,2026-07-21T11:17:35+00:00
BOP,33.69,34.0,34.71,33.96,34.03,0.34,1.01,20138916.0,111331503925.57,The Bank of Punjab,COMMERCIAL BANKS,2026-07-21T11:17:35+00:00
KEL,7.28,7.35,7.49,7.33,7.4,0.12,1.65,16342373.0,204352437413.0,K-Electric Limited,POWER GENERATION & DISTRIBUTION,2026-07-21T11:17:35+00:00
MLCF,96.36,97.25,97.7,94.01,94.36,-2.0,-2.08,13714389.0,98848007690.88,Maple Leaf Cement Factory Limited,CEMENT,2026-07-21T11:17:35+00:00
LOTCHEM,29.65,29.93,30.1,29.25,29.32,-0.33,-1.11,11614091.0,44396555104.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-07-21T11:17:35+00:00
SSGC,29.14,29.31,29.88,28.01,28.25,-0.89,-3.05,10726268.0,24885885729.25,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES,2026-07-21T11:17:35+00:00
PAEL,41.77,42.46,43.64,41.91,43.2,1.43,3.42,10080972.0,39901658443.200005,Pak Elektron Limited,CABLE & ELECTRICAL GOODS,2026-07-21T11:17:35+00:00
FCCL,53.74,54.0,55.15,54.0,54.7,0.96,1.79,7975952.0,134170742934.0,Fauji Cement Company Limited,CEMENT,2026-07-21T11:17:35+00:00
PIBTL,16.81,16.9,17.25,16.7,16.74,-0.07,-0.42,7906277.0,29899193003.28,Pakistan International Bulk Terminal,TRANSPORT,2026-07-21T11:17:35+00:00
TPLRF1,10.23,10.3,10.44,10.21,10.37,0.14,1.37,6654064.0,19028950000.0,TPL REIT Fund I,REAL ESTATE INVESTMENT TRUST,2026-07-21T11:17:35+00:00
PSX,51.49,52.3,52.5,51.25,51.36,-0.13,-0.25,6289010.0,41163838176.0,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-07-21T11:17:35+00:00
DGKC,209.9,211.5,213.85,205.8,206.51,-3.39,-1.62,4816956.0,90475974721.47,D.G. Khan Cement Company Limited,CEMENT,2026-07-21T11:17:35+00:00
NPL,67.31,67.51,70.88,67.32,67.7,0.39,0.58,3642189.0,23971791450.0,Nishat Power Limited,POWER GENERATION & DISTRIBUTION,2026-07-21T11:17:35+00:00
OGDC,318.22,318.8,322.3,307.5,315.84,-2.38,-0.75,3571634.0,1358405225856.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-21T11:17:35+00:00
PPL,220.17,221.75,224.4,218.75,219.78,-0.39,-0.18,3427492.0,598014247699.4401,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-21T11:17:35+00:00
AKBL,106.03,106.51,108.8,105.01,105.7,-0.33,-0.31,3121835.0,153190926179.9,Askari Bank Limited,COMMERCIAL BANKS,2026-07-21T11:17:35+00:00
NML,143.94,145.05,148.75,142.6,143.52,-0.42,-0.29,3015608.0,50461610184.96001,Nishat Mills Limited,TEXTILE COMPOSITE,2026-07-21T11:17:35+00:00
PTC,70.01,70.9,71.98,70.25,70.53,0.52,0.74,2982509.0,266180220000.0,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION,2026-07-21T11:17:35+00:00
ATRL,936.98,939.99,973.99,915.21,921.67,-15.31,-1.63,2606342.0,98264999137.5,Attock Refinery Limited,REFINERY,2026-07-21T11:17:35+00:00
PSO,346.52,349.0,353.5,346.03,346.95,0.43,0.12,2486635.0,162883761435.0,Pakistan State Oil Company Limited,OIL & GAS MARKETING COMPANIES,2026-07-21T11:17:35+00:00
SNGP,106.13,107.89,109.48,104.0,104.9,-1.23,-1.16,2460175.0,66529328158.5,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES,2026-07-21T11:17:35+00:00
UBL,471.94,476.0,481.84,472.25,474.36,2.42,0.51,2297136.0,1187914962690.0,United Bank Limited,COMMERCIAL BANKS,2026-07-21T11:17:35+00:00
YOUW,5.17,5.25,5.28,5.01,5.11,-0.06,-1.16,2263308.0,880721275.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-07-21T11:17:35+00:00
SYS,137.26,137.4,143.0,137.1,137.83,0.57,0.42,2089646.0,203079333276.05002,Systems Limited,TECHNOLOGY & COMMUNICATION,2026-07-21T11:17:35+00:00
SEARL,92.69,93.3,94.25,91.01,91.48,-1.21,-1.31,2076007.0,53810236613.200005,The Searle Company Limited,PHARMACEUTICALS,2026-07-21T11:17:35+00:00
AIRLINK,136.17,137.01,138.25,134.57,134.73,-1.44,-1.06,1939835.0,53254623492.63,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION,2026-07-21T11:17:35+00:00
ENGROH,276.71,279.0,283.1,278.0,278.55,1.84,0.66,1794670.0,335438821928.7,Engro Holdings Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-07-21T11:17:35+00:00
POWER,20.65,20.75,21.55,20.6,21.3,0.65,3.15,1773296.0,27488154192.3,Power Cement Limited,CEMENT,2026-07-21T11:17:35+00:00
HUBC,218.94,221.01,223.35,219.0,219.38,0.44,0.2,1746495.0,284569732272.0,The Hub Power Company Limited,POWER GENERATION & DISTRIBUTION,2026-07-21T11:17:35+00:00
HUMNL,10.54,10.75,10.75,10.21,10.4,-0.14,-1.33,1616443.0,11793600000.0,Hum Network Limited,TECHNOLOGY & COMMUNICATION,2026-07-21T11:17:35+00:00
BAFL,57.2,57.79,58.0,56.7,56.84,-0.36,-0.63,1612930.0,179292130727.92,Bank Alfalah Limited,COMMERCIAL BANKS,2026-07-21T11:17:35+00:00
LUCK,446.42,449.0,462.39,449.0,450.0,3.58,0.8,1550022.0,659250000000.0,Lucky Cement Limited,CEMENT,2026-07-21T11:17:35+00:00
