symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,59164430339.67,10.29,10.6,10.99,10.59,10.77,0.48,4.67,70060810.0,Cnergyico PK Limited,REFINERY,2026-07-27T09:32:14+00:00
KEL,205733197125.25,7.14,7.26,7.58,7.26,7.45,0.31,4.34,50897757.0,K-Electric Limited,POWER GENERATION,2026-07-27T09:32:14+00:00
BOP,111037062686.85999,32.64,33.98,34.32,33.71,33.94,1.3,3.98,22368419.0,The Bank of Punjab,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
MLCF,99413691499.20001,88.17,93.73,95.35,92.7,94.9,6.73,7.63,17009298.0,Maple Leaf Cement Factory Limited,CEMENT,2026-07-27T09:32:14+00:00
LOTCHEMXD,41595271784.0,26.81,27.21,27.7,27.05,27.47,0.66,2.46,6169118.0,LOTCHEMXD,Unknown,2026-07-27T09:32:14+00:00
PIBTL,29684861870.640003,15.85,16.41,16.8,16.26,16.62,0.77,4.86,8171552.0,Pakistan International Bulk Terminal,TRANSPORT,2026-07-27T09:32:14+00:00
SSGC,22930251523.27,24.85,25.7,26.3,25.7,26.03,1.18,4.75,12310020.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-07-27T09:32:14+00:00
TPLRF1,18698650000.0,10.18,10.4,10.49,10.11,10.19,0.01,0.1,8545016.0,TPL REIT Fund I,REIT,2026-07-27T09:32:14+00:00
PAEL,39624563592.9,40.85,42.26,43.34,42.1,42.9,2.05,5.02,4990844.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-07-27T09:32:14+00:00
FCCL,135372638071.79999,51.74,53.5,55.3,53.5,55.19,3.45,6.67,8283046.0,Fauji Cement Company Limited,CEMENT,2026-07-27T09:32:14+00:00
PTC,266935020000.0,68.07,71.0,71.5,69.2,70.73,2.66,3.91,3554437.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-07-27T09:32:14+00:00
PSX,40835232770.0,49.82,51.4,51.8,50.94,50.95,1.13,2.27,6595037.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-07-27T09:32:14+00:00
DGKC,91676421047.25,195.18,206.0,211.0,204.51,209.25,14.07,7.21,5873689.0,D.G. Khan Cement Company Limited,CEMENT,2026-07-27T09:32:14+00:00
NBP,437842146999.60004,193.18,204.5,205.9,200.0,205.8,12.62,6.53,2799741.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
AKBL,153364842084.74,99.95,103.0,106.42,103.0,105.82,5.87,5.87,3652106.0,Askari Bank Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
PPL,606775763204.0,211.1,219.88,224.8,216.3,223.0,11.9,5.64,4115183.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-07-27T09:32:14+00:00
OGDC,1387092418284.0,310.38,317.9,323.47,316.52,322.51,12.13,3.91,3787991.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-07-27T09:32:14+00:00
FFL,42688175574.66,16.49,16.85,17.1,16.85,16.94,0.45,2.73,2231832.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-07-27T09:32:14+00:00
SNGP,66370773992.25,98.25,101.49,105.25,101.49,104.65,6.4,6.51,1321077.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-07-27T09:32:14+00:00
HUBC,290147496192.0,213.97,219.89,223.99,219.0,223.68,9.71,4.54,5314044.0,The Hub Power Company Limited,POWER GENERATION,2026-07-27T09:32:14+00:00
TRG,32734347713.300003,58.97,60.15,60.6,59.6,60.02,1.05,1.78,2507074.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-07-27T09:32:14+00:00
BAFL,181689421708.80002,55.5,56.89,57.78,56.8,57.6,2.1,3.78,1779723.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
SEARL,54363162087.8,88.41,91.0,92.99,90.12,92.42,4.01,4.54,2174019.0,The Searle Company Limited,PHARMA,2026-07-27T09:32:14+00:00
ENGROH,336450376803.66,267.94,274.0,280.1,273.5,279.39,11.45,4.27,2054310.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-07-27T09:32:14+00:00
AHCL,64013566194.6,14.85,15.19,15.25,15.01,15.18,0.33,2.22,949588.0,Arif Habib Corporation Limited,FERTILIZER,2026-07-27T09:32:14+00:00
UBL,1176946357545.0,446.7,469.0,470.5,461.02,469.98,23.28,5.21,2283717.0,United Bank Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
YOUW,968621050.0,5.6,5.6,5.8,5.57,5.62,0.02,0.36,2809793.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-07-27T09:32:14+00:00
POWER,27075186617.58,19.94,20.29,20.98,20.29,20.98,1.04,5.22,1201557.0,Power Cement Limited,CEMENT,2026-07-27T09:32:14+00:00
PSO,163611445050.0,337.15,342.02,349.0,342.0,348.5,11.35,3.37,1155922.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-07-27T09:32:14+00:00
NML,50946817975.200005,140.27,145.03,145.9,143.69,144.9,4.63,3.3,1720726.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-07-27T09:32:14+00:00
HBL,447390014940.0,292.0,300.0,306.2,298.01,305.0,13.0,4.45,1468412.0,Habib Bank Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
NPL,23777042775.000004,64.65,65.89,68.3,65.61,67.15,2.5,3.87,2488597.0,Nishat Power Limited,POWER GENERATION,2026-07-27T09:32:14+00:00
LUCK,661476800000.0,433.01,450.0,455.2,445.25,451.52,18.51,4.28,2760214.0,Lucky Cement Limited,CEMENT,2026-07-27T09:32:14+00:00
ILP,140871801534.0,98.07,99.01,101.66,99.01,100.5,2.43,2.48,335867.0,Interloop Limited,TEXTILE COMPOSITE,2026-07-27T09:32:14+00:00
HUMNL,12133800000.0,10.45,10.6,10.75,10.6,10.7,0.25,2.39,930877.0,Hum Network Limited,TECH & COMMUNICATION,2026-07-27T09:32:14+00:00
JVDC,55339022949.100006,139.58,143.33,146.0,141.05,145.3,5.72,4.1,620732.0,Javedan Corporation Limited,PROPERTY,2026-07-27T09:32:14+00:00
SYS,198894864680.65002,132.24,135.3,136.99,134.1,134.99,2.75,2.08,1653790.0,Systems Limited,TECH & COMMUNICATION,2026-07-27T09:32:14+00:00
MEBL,1006492044921.48,540.11,560.0,560.0,549.0,558.99,18.88,3.5,1205810.0,Meezan Bank Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
AIRLINK,55396982724.65,133.8,136.5,147.18,136.5,140.15,6.35,4.75,1604448.0,Air Link Communication Limited,TECH & COMMUNICATION,2026-07-27T09:32:14+00:00
FATIMA,329700000000.0,150.39,156.0,157.5,153.02,157.0,6.61,4.4,428300.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-07-27T09:32:14+00:00
FABL,153059694647.1,98.68,101.8,102.0,100.16,100.85,2.17,2.2,954874.0,Faysal Bank Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
FFC,789419381067.9601,533.52,545.0,549.9,540.01,548.58,15.06,2.82,866900.0,Fauji Fertilizer Company Limited,FERTILIZER,2026-07-27T09:32:14+00:00
CPHL,17102605432.0,72.5,73.86,75.12,73.86,74.86,2.36,3.26,337653.0,Citi Pharma Ltd.,PHARMA,2026-07-27T09:32:14+00:00
GAL,33943848700.0,562.42,578.0,599.2,578.0,595.48,33.06,5.88,1147402.0,Ghandhara Automobiles Limited,AUTO ASSEMBLER,2026-07-27T09:32:14+00:00
EFERT,254908650687.5,187.37,189.99,191.6,189.0,190.9,3.53,1.88,598666.0,Engro Fertilizers Limited,FERTILIZER,2026-07-27T09:32:14+00:00
KAPCO,24515052399.800003,27.41,27.7,27.95,27.7,27.85,0.44,1.6,288598.0,Kot Addu Power Company Limited,POWER GENERATION,2026-07-27T09:32:14+00:00
MARI,784042511175.0,633.02,650.88,655.0,645.0,653.03,20.01,3.16,499206.0,Mari Energies Limited,OIL & GAS EXPLORATION,2026-07-27T09:32:14+00:00
KOHC,89292238888.05,90.0,94.0,98.99,94.0,97.13,7.13,7.92,785524.0,Kohat Cement Company Limited,CEMENT,2026-07-27T09:32:14+00:00
HCAR,35607180000.0,226.68,235.0,249.35,231.12,249.35,22.67,10.0,1684111.0,Honda Atlas Cars (Pakistan) Limited,AUTO ASSEMBLER,2026-07-27T09:32:14+00:00
KTML,62275499200.0,42.99,44.0,46.87,44.0,46.25,3.26,7.58,215193.0,Kohinoor Textile Mills Limited,TEXTILE COMPOSITE,2026-07-27T09:32:14+00:00
AGP,54334000000.0,190.7,195.0,197.21,192.5,194.05,3.35,1.76,559208.0,AGP Limited,PHARMA,2026-07-27T09:32:14+00:00
GHGL,39598704733.18,37.69,38.0,39.94,38.0,39.61,1.92,5.09,379548.0,Ghani Glass Limited,GLASS & CERAMICS,2026-07-27T09:32:14+00:00
ATRL,100645740000.0,919.68,949.0,949.05,936.0,944.0,24.32,2.64,423072.0,Attock Refinery Limited,REFINERY,2026-07-27T09:32:14+00:00
BAHL,189931489852.90997,169.32,170.1,173.55,170.1,170.89,1.57,0.93,379275.0,Bank AL Habib Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
ISL,38323500000.0,80.86,84.8,88.5,82.5,88.1,7.24,8.95,430898.0,International Steels Limited,ENGINEERING,2026-07-27T09:32:14+00:00
MCB,485507233858.14,402.02,406.0,409.74,405.0,409.69,7.67,1.91,60717.0,MCB Bank Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
AICL,28752500000.000004,77.68,76.9,85.45,76.9,82.15,4.47,5.75,837975.0,Adamjee Insurance Company Limited,INSURANCE,2026-07-27T09:32:14+00:00
CHCC,61202936970.0,295.61,305.5,315.95,304.11,315.0,19.39,6.56,190084.0,Cherat Cement Company Limited,CEMENT,2026-07-27T09:32:14+00:00
DCRXD,84255993000.0,37.64,37.7,38.39,37.64,37.89,0.25,0.66,297325.0,DCRXD,Unknown,2026-07-27T09:32:14+00:00
HMB,120081487608.0,112.87,114.0,115.49,113.03,114.6,1.73,1.53,36816.0,Habib Metropolitan Bank Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
GHNI,51471483552.0,1145.64,1199.0,1214.0,1180.0,1208.0,62.36,5.44,418595.0,Ghandhara Industries Limited,AUTO ASSEMBLER,2026-07-27T09:32:14+00:00
PIOC,66665899257.57,283.69,291.0,295.5,289.0,293.49,9.8,3.45,423966.0,Pioneer Cement Limited,CEMENT,2026-07-27T09:32:14+00:00
GLAXO,113024036962.2,342.65,352.0,355.0,348.06,354.9,12.25,3.57,156232.0,GlaxoSmithKline Pakistan Limited,PHARMA,2026-07-27T09:32:14+00:00
MTL,116916344942.0,284.11,290.0,295.49,288.0,293.0,8.89,3.13,230744.0,Millat Tractors Limited,AUTO ASSEMBLER,2026-07-27T09:32:14+00:00
HGFAXD,4530330000.0,15.84,16.44,16.44,15.5,15.98,0.14,0.88,18589.0,HGFAXD,Unknown,2026-07-27T09:32:14+00:00
TGL,33488239737.879997,180.57,185.22,198.63,185.22,194.51,13.94,7.72,159312.0,Tariq Glass Industries Limited,GLASS & CERAMICS,2026-07-27T09:32:14+00:00
NATF,89271484987.5,374.96,385.0,390.0,376.06,382.95,7.99,2.13,95984.0,National Foods Limited,FOOD & PERSONAL CARE,2026-07-27T09:32:14+00:00
INIL,21827766648.6,159.99,162.03,167.0,162.03,165.51,5.52,3.45,144711.0,International Industries Limited,ENGINEERING,2026-07-27T09:32:14+00:00
POL,193870197480.96,670.02,679.8,684.5,676.0,682.99,12.97,1.94,82470.0,Pakistan Oilfields Limited,OIL & GAS EXPLORATION,2026-07-27T09:32:14+00:00
SAZEW,117856325838.58,1884.24,1920.0,1965.0,1920.0,1949.78,65.54,3.48,139693.0,Sazgar Engineering Works Limited,AUTO ASSEMBLER,2026-07-27T09:32:14+00:00
LCI,106212907500.0,224.21,231.5,231.5,225.05,230.0,5.79,2.58,42506.0,Lucky Core Industries Limited,CHEMICAL,2026-07-27T09:32:14+00:00
PABC,37916366670.0,103.0,105.0,105.6,103.0,105.0,2.0,1.94,15019.0,Pakistan Aluminium Beverage Cans Limited,MISC.,2026-07-27T09:32:14+00:00
ABL,205368991410.5,175.04,177.99,180.0,177.99,179.35,4.31,2.46,21428.0,Allied Bank Limited,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
HALEON,88961426080.0,743.74,758.96,766.0,758.0,760.0,16.26,2.19,10991.0,Haleon Pakistan Limited,PHARMA,2026-07-27T09:32:14+00:00
APL,67060224000.0,530.84,533.0,539.95,533.0,539.0,8.16,1.54,12681.0,Attock Petroleum Limited,OIL & GAS MKTNG,2026-07-27T09:32:14+00:00
HINOON,52929854798.32,961.21,969.02,1057.0,969.02,998.99,37.78,3.93,22871.0,Highnoon Laboratories Limited,PHARMA,2026-07-27T09:32:14+00:00
ABOT,91536782370.0,918.86,935.0,937.0,925.0,935.0,16.14,1.76,12179.0,Abbott Laboratories (Pakistan) Limited,PHARMA,2026-07-27T09:32:14+00:00
SHFA,33061122309.0,517.48,535.0,535.0,519.99,523.0,5.52,1.07,4914.0,Shifa International Hospitals Limited,MISC.,2026-07-27T09:32:14+00:00
PGLC,791537760.0,15.91,16.1,17.4,15.0,16.0,0.09,0.57,202147.0,Pak-Gulf Leasing Company Limited,LEASING,2026-07-27T09:32:14+00:00
SRVI,96365724000.0,2046.19,2065.0,2070.0,2050.0,2050.88,4.69,0.23,810.0,Service Industries Limited,LEATHER & TANNERIES,2026-07-27T09:32:14+00:00
MEHT,5762100000.0,189.38,202.19,202.19,189.39,192.07,2.69,1.42,4718.0,Mehmood Textile Mills Limited,TEXTILE COMPOSITE,2026-07-27T09:32:14+00:00
SCBPL,247781441344.0,63.02,63.99,64.25,63.3,64.0,0.98,1.56,2690.0,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS,2026-07-27T09:32:14+00:00
SSOM,2631156000.0,449.17,454.88,473.0,454.88,465.0,15.83,3.52,40792.0,S.S.Oil Mills Limited,VANASPATI & ALLIED,2026-07-27T09:32:14+00:00
FHAM,3654081585.0,32.78,33.69,33.69,32.55,32.97,0.19,0.58,6173.0,First Habib Modaraba,MODARABAS,2026-07-27T09:32:14+00:00
GADT,7683188996.13,269.49,275.0,277.95,271.12,274.11,4.62,1.71,7386.0,Gadoon Textile Mills Limited,TEXTILE SPINNING,2026-07-27T09:32:14+00:00
BWCL,300392152075.4,498.48,502.95,513.97,500.0,503.8,5.32,1.07,19319.0,Bestway Cement Limited,CEMENT,2026-07-27T09:32:14+00:00
THALL,47807651030.0,588.73,590.0,591.0,585.55,590.0,1.27,0.22,6588.0,Thal Limited,AUTO PARTS,2026-07-27T09:32:14+00:00
INDU,150518214000.0,1894.97,1900.0,1924.98,1900.0,1914.99,20.02,1.06,7829.0,Indus Motor Company Limited,AUTO ASSEMBLER,2026-07-27T09:32:14+00:00
PAKT,373020936320.0,1418.44,1457.99,1470.0,1421.1,1460.0,41.56,2.93,7901.0,Pakistan Tobacco Company Limited,TOBACCO,2026-07-27T09:32:14+00:00
PKGS,71504496995.04,797.0,799.88,805.0,798.0,800.01,3.01,0.38,4712.0,Packages Limited,PAPER & PACKAGING,2026-07-27T09:32:14+00:00
BNWM,632165625.0,66.2,67.49,68.38,66.25,66.5,0.3,0.45,17549.0,Bannu Woollen Mills Limited,WOOLLEN,2026-07-27T09:32:14+00:00
MUREB,25146240579.0,901.39,924.99,924.99,903.01,909.0,7.61,0.84,1137.0,Murree Brewery Company Limited,FOOD & PERSONAL CARE,2026-07-27T09:32:14+00:00
ATLH,203130708715.65,1630.75,1655.0,1655.0,1632.13,1636.99,6.24,0.38,4349.0,Atlas Honda Limited,AUTO ASSEMBLER,2026-07-27T09:32:14+00:00
COLG,303218981246.24,1229.65,1234.0,1270.0,1230.0,1248.98,19.33,1.57,6516.0,Colgate-Palmolive (Pakistan) Limited,FOOD & PERSONAL CARE,2026-07-27T09:32:14+00:00
IBFL,93152098500.0,286.21,294.99,303.0,294.99,300.0,13.79,4.82,586.0,Ibrahim Fibres Limited,SYNTHETIC & RAYON,2026-07-27T09:32:14+00:00
JDWS,54598944645.0,932.11,959.94,959.94,932.0,945.0,12.89,1.38,249.0,JDW Sugar Mills Limited,SUGAR & ALLIED,2026-07-27T09:32:14+00:00
PSEL,29432820037.5,897.11,916.95,916.95,891.55,904.95,7.84,0.87,22.0,Pakistan Services Limited,MISC.,2026-07-27T09:32:14+00:00
