symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,75754642004.09,14.46,14.46,14.46,13.17,13.79,-0.67,-4.63,114434960.0,Cnergyico PK Limited,REFINERY,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
BOP,112934572891.88,34.39,34.64,34.75,34.39,34.52,0.13,0.38,5716686.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
KEL,196067879139.5,7.11,7.25,7.25,7.07,7.1,-0.01,-0.14,4046670.0,K-Electric Limited,POWER GENERATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PIBTL,29041868472.72,16.26,16.27,16.3,16.06,16.26,0.0,0.0,1887306.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
MLCF,104127723235.20001,99.06,100.0,100.4,98.47,99.4,0.34,0.34,2713265.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SSGC,23696648712.1,27.0,27.06,27.39,26.56,26.9,-0.1,-0.37,3147240.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
FCCL,132134879741.4,54.08,54.09,54.44,53.77,53.87,-0.21,-0.39,577369.0,Fauji Cement Company Limited,CEMENT,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
LOTCHEM,40232485304.0,26.7,27.25,27.25,26.54,26.57,-0.13,-0.49,1229157.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PPL,611537456413.0,225.4,225.4,230.0,222.8,224.75,-0.65,-0.29,7017896.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
TPLRF1,17983000000.0,9.67,9.79,9.9,9.61,9.8,0.13,1.34,2971745.0,TPL REIT Fund I,REIT,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PAEL,35929965588.9,39.34,39.42,39.69,38.8,38.9,-0.44,-1.12,1431210.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
DGKC,89599736527.47,203.43,204.4,204.84,203.02,204.51,1.08,0.53,845377.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
HUBC,268964964840.0,206.71,206.7,207.95,205.66,207.35,0.64,0.31,607760.0,The Hub Power Company Limited,POWER GENERATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PSX,39472722550.0,49.27,49.51,49.99,49.25,49.25,-0.02,-0.04,292243.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PSO,168306178050.0,359.68,361.0,361.5,356.5,358.5,-1.18,-0.33,583660.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
OGDC,1418016093480.0,327.02,327.0,334.1,327.0,329.7,2.68,0.82,7016058.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
TRG,29838323282.15,54.4,54.5,55.25,54.5,54.71,0.31,0.57,578230.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
BAFL,177273359375.6,56.4,56.88,57.0,56.14,56.2,-0.2,-0.36,1017184.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
AKBL,154408337513.78,106.09,105.99,107.19,104.35,106.54,0.45,0.42,1905687.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PTC,252518340000.0,67.01,67.26,68.0,66.71,66.91,-0.1,-0.15,1518623.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SNGP,62406919836.0,98.16,98.49,100.49,97.85,98.4,0.24,0.24,854749.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
NBP,394334508971.7,185.4,186.99,186.99,184.5,185.35,-0.05,-0.03,320914.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
FFL,38555436026.700005,15.31,15.38,15.38,15.0,15.3,-0.01,-0.06,921508.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
AHCL,66923273748.899994,16.04,16.15,16.15,15.76,15.87,-0.17,-1.06,1357126.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
NPL,22948475685.0,65.87,66.0,66.11,64.5,64.81,-1.06,-1.61,721722.0,Nishat Power Limited,POWER GENERATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
HBL,460004946508.80005,314.17,314.17,316.0,313.52,313.6,-0.57,-0.18,65116.0,Habib Bank Limited,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
YOUW,884168325.0,5.17,5.21,5.22,5.08,5.13,-0.04,-0.77,458467.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
NML,49255622706.32,140.69,141.5,141.5,139.0,140.09,-0.6,-0.43,259283.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
POWER,28778677863.3,22.54,22.5,22.52,22.02,22.3,-0.24,-1.06,254562.0,Power Cement Limited,CEMENT,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SYS,187122363245.0,126.96,127.95,128.89,126.51,127.0,0.04,0.03,700266.0,Systems Limited,TECH & COMMUNICATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
UBL,1101843967522.5,443.21,443.0,444.0,438.79,439.99,-3.22,-0.73,321236.0,United Bank Limited,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SEARL,49698588669.1,84.83,84.88,84.88,84.01,84.49,-0.34,-0.4,404053.0,The Searle Company Limited,PHARMA,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
AICL,32903500000.0,91.86,92.5,95.0,91.51,94.01,2.15,2.34,563322.0,Adamjee Insurance Company Limited,INSURANCE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
LUCK,631371050000.0,431.32,432.0,437.0,429.26,430.97,-0.35,-0.08,199366.0,Lucky Cement Limited,CEMENT,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
ENGROH,325503907978.2,270.12,270.0,272.0,269.0,270.3,0.18,0.07,712988.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
HUMNL,11566800000.0,10.04,10.1,10.47,9.99,10.2,0.16,1.59,659974.0,Hum Network Limited,TECH & COMMUNICATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
CPHL,17102605432.0,75.57,75.6,76.44,74.5,74.86,-0.71,-0.94,175465.0,Citi Pharma Ltd.,PHARMA,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
MEBL,1019166254743.04,561.0,561.0,566.75,559.0,563.98,2.98,0.53,170951.0,Meezan Bank Limited,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
EFERT,254241001000.0,191.4,191.4,191.4,189.3,190.4,-1.0,-0.52,297553.0,Engro Fertilizers Limited,FERTILIZER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
FFC,788728649902.2001,548.68,550.0,551.0,547.0,548.1,-0.58,-0.11,151542.0,Fauji Fertilizer Company Limited,FERTILIZER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
ATRL,116531561250.0,1145.97,1139.9,1139.9,1065.5,1093.0,-52.97,-4.62,1044102.0,Attock Refinery Limited,REFINERY,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
FATIMA,321846000000.0,152.78,153.99,154.99,151.08,153.26,0.48,0.31,80380.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
AIRLINK,52254592338.2,131.46,131.12,132.5,131.02,132.2,0.74,0.56,234242.0,Air Link Communication Limited,TECH & COMMUNICATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
KAPCO,23740429559.16,27.06,27.17,27.23,26.95,26.97,-0.09,-0.33,1275927.0,Kot Addu Power Company Limited,POWER GENERATION,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
GAL,36823615000.0,637.48,638.11,646.09,635.13,646.0,8.52,1.34,186244.0,Ghandhara Automobiles Limited,AUTO ASSEMBLER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
KTML,57360784128.0,43.01,42.7,43.24,42.3,42.6,-0.41,-0.95,46854.0,Kohinoor Textile Mills Limited,TEXTILE COMPOSITE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
