symbol,ldcp,open,high,low,close,change,percent_change,volume,market_cap,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
ABL,170.01,170.98,170.98,169.02,170.2,0.19,0.11175813187459561,48441.0,194891565866.0,Allied Bank Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
ABOT,925.16,925.16,935.0,915.0,933.39,8.23,0.8895758571490338,6609.0,91379162883.78,Abbott Laboratories (Pakistan) Limited,PHARMA,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
AGP,157.89999999999998,157.9,159.0,156.1,158.76,0.86,0.5446485117162763,85995.0,44452800000.0,AGP Limited,PHARMA,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
AHCL,15.49,15.5,15.75,15.4,15.59,0.1,0.6455777921239509,421417.0,65742522857.3,Arif Habib Corporation Limited,FERTILIZER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
AICL,99.08999999999999,99.0,99.48,97.1,98.13,-0.96,-0.9688162276718136,298838.0,34345500000.0,Adamjee Insurance Company Limited,INSURANCE,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
AIRLINK,126.23,126.24,126.25,125.0,125.64,-0.59,-0.46740077636061156,346334.0,49661626182.840004,Air Link Communication Limited,TECH & COMMUNICATION,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
AKBL,106.93,107.54,108.0,106.9,107.7,0.77,0.7200972598896473,961563.0,156089524593.9,Askari Bank Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
APL,579.4,579.4,583.86,578.11,580.0,0.6,0.10355540214014498,10336.0,72161280000.0,Attock Petroleum Limited,OIL & GAS MKTNG,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
ATLH,1569.5300000000002,1578.0,1579.0,1500.0,1571.65,2.12,0.1350722827852924,788.0,195022803042.75,Atlas Honda Limited,AUTO ASSEMBLER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
ATRL,1131.02,1131.03,1151.0,1121.01,1145.35,14.33,1.2669979310710686,458041.0,122112921937.49998,Attock Refinery Limited,REFINERY,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
BAFL,56.370000000000005,56.48,57.18,55.5,57.06,0.69,1.224055348589675,2532997.0,179986083380.28,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
BAHL,151.42000000000002,152.9,153.11,151.35,152.58,1.16,0.766081098930128,298408.0,169581290431.02002,Bank AL Habib Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
BNWM,63.95,63.78,67.88,62.13,62.92,-1.03,-1.6106333072713057,914.0,598133250.0,Bannu Woollen Mills Limited,WOOLLEN,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
BOP,30.560000000000002,30.51,30.69,30.23,30.35,-0.21,-0.6871727748691099,4802748.0,99292128831.65001,The Bank of Punjab,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
BWCL,446.58,447.5,447.98,444.0,446.63,0.05,0.011196202248197413,4047.0,266304380471.29,Bestway Cement Limited,CEMENT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
CHCC,279.28000000000003,279.28,285.0,273.04,279.86,0.58,0.20767688341449436,144035.0,54375409334.68,Cherat Cement Company Limited,CEMENT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
CNERGY,13.469999999999999,13.23,13.45,12.81,13.18,-0.29,-2.1529324424647367,108191630.0,72403638985.78,Cnergyico PK Limited,REFINERY,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
COLG,1134.98,1140.0,1140.0,1125.0,1128.01,-6.97,-0.614107737581279,2818.0,273850696596.88,Colgate-Palmolive (Pakistan) Limited,FOOD & PERSONAL CARE,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
CPHL,73.92,73.9,74.59,72.83,73.31,-0.61,-0.8252164502164502,459451.0,16748490572.0,Citi Pharma Ltd.,PHARMA,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
DCR,39.4,39.45,39.65,39.2,39.23,-0.17,-0.43147208121827413,408355.0,87235751000.0,Dolmen City REIT,REIT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
DGKC,195.70999999999998,195.1,197.0,193.5,195.54,-0.17,-0.08686321598283177,1689127.0,85669808227.37999,D.G. Khan Cement Company Limited,CEMENT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
