fiscal_year,exports_usd_million,imports_usd_million,trade_balance_usd_million
2008-09,17872.601625999967,31212.37094,-13339.769314000034
2009-10,19394.982541000005,31188.12103100003,-11793.138490000027
2010-11,24553.15396999998,36379.099175999996,-11825.945206000015
2011-12,24043.35876799999,39627.41807900005,-15584.059311000055
2012-13,23680.611837999993,39320.48279000001,-15639.870952000016
2013-14,24837.52429100002,41788.136096,-16950.611804999982
2014-15,24600.761795000024,41484.607872999986,-16883.846077999962
2015-16,21786.520220000002,40361.56494699997,-18575.044726999968
2016-17,21337.218521000006,47268.72631799992,-25931.507796999915
2017-18,24286.313282000006,54442.17785999994,-30155.86457799993
2018-19,24021.934299000044,50291.767072999915,-26269.83277399987
2019-20,22537.485424999988,41009.428341000035,-18471.942916000047
2020-21,25027.859626000016,52149.691502599955,-27121.83187659994
2021-22,31304.687806000005,69984.99402062011,-38680.30621462011
2022-23,28284.62283399998,52799.19030525,-24514.56747125002
2023-24,30705.328101199982,53698.56953275996,-22993.241431559978
2024-25,31477.69368780003,58719.491913600075,-27241.798225800045
2025-26,23494.862268600038,48676.108574379985,-25181.246305779947
