trade_type,category_level,fiscal_year,category_code,category,unit,value_million_usd
exports,hs2_sections,2008-09,52,"HS52 — Cotton, Not Carded Or Combed",million USD,3288.7207500000086
exports,hs2_sections,2008-09,63,HS63 — Blankets and Traveling Rugs,million USD,2546.663385999999
exports,hs2_sections,2008-09,61,"HS61 — Gents Overcoats, Car-Coats, Caps, Cloaks and Anoraks etc.",million USD,2074.9712010000007
exports,hs2_sections,2008-09,10,HS10 — Wheat and Meslin,million USD,1784.6634330000002
exports,hs2_sections,2008-09,27,"HS27 — Mineral Tars, Including Reconstituted Tars",million USD,982.9764700000006
exports,hs2_sections,2008-09,62,"HS62 — Men's or Boys' Overcoats, Cloaks etc. Not Knitted etc",million USD,964.702139
exports,hs2_sections,2008-09,25,"HS25 — Salt, Pure Sodium Chloride, Sea Water",million USD,660.3163690000003
exports,hs2_sections,2008-09,41,HS41 — Raw Hides and Skins of Bovine or Equine Animals,million USD,482.66507599999983
exports,hs2_sections,2008-09,42,"HS42 — Saddlery, Harness, Traces and Leads etc.",million USD,416.3130950000001
exports,hs2_sections,2008-09,55,HS55 — Waste of Manmade Fibers Including Noils etc.,million USD,397.25031100000007
exports,hs2_sections,2008-09,95,"HS95 — Toys NES, Reduced Size, Puzzles of all Kinds",million USD,303.9844149999998
exports,hs2_sections,2008-09,39,"HS39 — Polymers of Ethylene, in Primary Forms",million USD,299.22882899999956
exports,hs2_sections,2008-09,90,HS90 — Optical Fibers and Bundles etc.,million USD,267.95037800000006
exports,hs2_sections,2008-09,58,HS58 — Woven Terry Fabrics and Tufted Textile Fabric NES,million USD,230.30139200000025
exports,hs2_sections,2008-09,03,"HS03 — Fish, Fresh or Chilled (Not Fish Fillets & other Fish Meat)",million USD,180.25307600000002
exports,hs2_sections,2008-09,57,"HS57 — Carpets and other Textile Floor Coverings, Knotted",million USD,169.96899199999996
exports,hs2_sections,2008-09,08,HS08 — Other Nuts NES Fresh or Dried Whether Shelled or Peeled,million USD,161.4120790000001
exports,hs2_sections,2008-09,84,HS84 — Central Heat Boilers NES and Its Parts,million USD,158.6603349999997
exports,hs2_sections,2008-09,17,HS17 — Cane or Beet Sugar and Sucrose in Solid Form,million USD,157.29817899999998
exports,hs2_sections,2008-09,22,"HS22 — Waters, Natural etc. Not Sweetened, Ice and Snow",million USD,143.74684000000002
exports,hs2_sections,2008-09,94,"HS94 — Seats and Parts Except Barber, Dental etc.",million USD,129.771107
exports,hs2_sections,2008-09,15,HS15 — Wool Grease Fatty Substances Derived there from,million USD,127.46542699999998
exports,hs2_sections,2008-09,12,HS12 — Other Oil Seeds and Oleaginous Fruits NES,million USD,91.35495199999998
exports,hs2_sections,2008-09,30,HS30 — Glands and other Organs for Organo-Therapeutic Uses,million USD,90.438313
exports,hs2_sections,2008-09,02,"HS02 — Meat of Bovine Animals, Fresh or Chilled",million USD,90.18900499999995
exports,hs2_sections,2008-09,64,"HS64 — Waterproof Footwear, Rubber or Plastics, Bond Sole",million USD,90.00710799999993
exports,hs2_sections,2008-09,85,HS85 — Electric Motors and Generators,million USD,85.28587800000011
exports,hs2_sections,2008-09,26,HS26 — Iron Ores and Concentrates,million USD,83.67511500000009
exports,hs2_sections,2008-09,73,"HS73 — Sheet Piling of Iron or Steel, Welded Angles etc.",million USD,74.86334000000005
exports,hs2_sections,2008-09,60,HS60 — Pile Fabrics and Terry Fabrics Knitted or Crocheted,million USD,68.966944
exports,hs2_sections,2008-09,93,"HS93 — Bombs, Grenades, Cartridges and Parts",million USD,62.08732399999998
exports,hs2_sections,2008-09,16,HS16 — Sausages and Similar Products of Meat and Blood,million USD,61.07310999999998
exports,hs2_sections,2008-09,68,"HS68 — Setts, Curbstone and Flagstones, of Natural Stone",million USD,53.765153000000055
exports,hs2_sections,2008-09,59,HS59 — Gum Covered Fabric; Tracing Cloth; Paint Canvas,million USD,53.423448
exports,hs2_sections,2008-09,54,HS54 — Woven Fabric of Synthetic Filament Yarn,million USD,53.41912600000003
exports,hs2_sections,2008-09,07,"HS07 — Potatoes, Fresh or Chilled",million USD,49.426328999999996
exports,hs2_sections,2008-09,40,"HS40 — Natural Rubber, Balata, Chicle etc, Primary Form etc.",million USD,46.32649500000005
exports,hs2_sections,2008-09,29,HS29 — Halogenated Derivatives of Hydrocarbons,million USD,43.63324899999999
