fiscal_year,exports_usd_million,imports_usd_million,trade_balance_usd_million
1985-86,3070.0,5634.0,-2564.0
1986-87,3686.0,5380.0,-1694.0
1987-88,4455.0,6391.0,-1936.0
1988-89,4661.0,7034.0,-2373.0
1989-90,4954.0,6935.0,-1981.0
1990-91,6131.0,7619.0,-1488.0
1991-92,6904.0,9252.0,-2348.0
1992-93,6813.0,9941.0,-3128.0
1993-94,6803.0,8564.0,-1761.0
1994-95,8137.0,10394.0,-2257.0
1995-96,8707.0,11805.0,-3098.0
1996-97,8320.0,11894.0,-3574.0
1997-98,8628.0,10118.0,-1490.0
1998-99,7779.0,9432.0,-1653.0
1999-2000,8569.0,10309.0,-1740.0
2000-2001,9202.0,10729.0,-1527.0
2001-2002,9135.0,10340.0,-1205.0
2002-2003,11160.0,12220.0,-1060.0
2003-2004,12313.0,15592.0,-3279.0
2004-2005,14391.0,20598.0,-6207.0
2005-2006,16451.0,28581.0,-12130.0
2006-2007,16976.0,30540.0,-13564.0
2007-2008,19052.0,39966.0,-20914.0
2008-2009,17688.0,34822.0,-17134.0
2009-2010,19290.0,34710.0,-15420.0
2010-2011,24810.0,40414.0,-15604.0
2011-2012,23624.0,44912.0,-21288.0
2012-2013,24460.0,44950.0,-20490.0
2013-2014,25110.0,45073.0,-19963.0
2014-2015,23667.0,45826.0,-22159.0
2015-2016,20787.0,44685.0,-23898.0
2016-2017,20422.0,52910.0,-32488.0
2017-2018,23212.0,60795.0,-37583.0
2018-2019,22958.0,54763.0,-31805.0
2019-2020,21394.0,44553.0,-23159.0
2020-2021,25304.0,56380.0,-31076.0
2021-2022,31782.0,80136.0,-48354.0
2022-2023,27724.0,55198.0,-27474.0
2023-2024,30675.0,54779.0,-24104.0
2024-2025,32040.0,58363.0,-26323.0
