trade_type,category_level,fiscal_year,category,value_million_pkr,value_million_usd,exchange_rate_pkr_per_usd,unit_pkr,unit_usd,source_url
exports,major_groups,2010-11,Animal and vegetable oils and fats,10529.116,123.14510705635092,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,Beverages and tobacco,4164.834,48.71054025826387,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,Chemicals,78901.797,922.8096868249404,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,Commodities and transactions not classified according to kind,67.806,0.793036863594525,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,"Crude materials inedible, except fuels",81275.521,950.5719886271266,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,Food and live animals,214132.351,2504.422145992419,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,Machinery and transport equipment,19643.486,229.7438062635012,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,Manufactured goods classified chiefly by material,922992.424,10795.018391447187,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,"Mineral fuels, lubricants and related materials",115647.399,1352.5742646052652,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2010-11,Miscellaneous manufactured articles,511437.216,5981.602892106239,85.5017,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,Animal and vegetable oils and fats,19913.105,223.15127656021846,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,Beverages and tobacco,4926.467,55.20723161866468,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,Chemicals,96008.238,1075.8925275589756,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,Commodities and transactions not classified according to kind,28.404,0.3183023872679045,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,"Crude materials inedible, except fuels",111081.102,1244.8028428020561,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,Food and live animals,179555.55,2012.1447758133215,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,Machinery and transport equipment,18249.038,204.5033220934624,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,Manufactured goods classified chiefly by material,877515.311,9833.657877603073,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
exports,major_groups,2011-12,"Mineral fuels, lubricants and related materials",80046.698,897.0234849427193,89.2359,million PKR,million USD,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Pakistan_Statistical_Year_Book_2022.pdf
